"series","timestamp","value","label"
"pressure","2024-04-06T00:05:34Z",852.84549,""
"pressure","2024-04-06T00:15:34Z",852.96611,""
"pressure","2024-04-06T00:25:34Z",853.17999,""
"pressure","2024-04-06T00:35:34Z",853.28965,""
"pressure","2024-04-06T00:45:34Z",853.3518,""
"pressure","2024-04-06T00:55:34Z",853.53454,""
"pressure","2024-04-06T01:05:34Z",853.60216,""
"pressure","2024-04-06T01:15:34Z",853.59668,""
"pressure","2024-04-06T01:25:34Z",853.7319,""
"pressure","2024-04-06T01:35:34Z",853.80497,""
"pressure","2024-04-06T01:45:34Z",853.83604,""
"pressure","2024-04-06T01:55:34Z",854.04976,""
"pressure","2024-04-06T02:05:34Z",854.30546,""
"pressure","2024-04-06T02:15:34Z",854.37303,""
"pressure","2024-04-06T02:25:34Z",854.4826,""
"pressure","2024-04-06T02:35:34Z",854.55564,""
"pressure","2024-04-06T02:45:34Z",854.66519,""
"pressure","2024-04-06T02:55:34Z",854.69623,""
"pressure","2024-04-06T03:05:34Z",854.69623,""
"pressure","2024-04-06T03:15:34Z",854.8368,""
"pressure","2024-04-06T03:25:34Z",854.79481,""
"pressure","2024-04-06T03:35:34Z",854.79481,""
"pressure","2024-04-06T03:45:34Z",854.64875,""
"pressure","2024-04-06T03:55:34Z",854.5392,""
"pressure","2024-04-06T04:05:34Z",854.60675,""
"pressure","2024-04-06T04:15:34Z",854.53372,""
"pressure","2024-04-06T04:25:34Z",854.60675,""
"pressure","2024-04-06T04:35:34Z",854.60127,""
"pressure","2024-04-06T04:45:34Z",854.52824,""
"pressure","2024-04-06T04:55:34Z",854.34564,""
"pressure","2024-04-06T05:05:34Z",854.19406,""
"pressure","2024-04-06T05:15:34Z",854.12101,""
"pressure","2024-04-06T05:25:34Z",853.82328,""
"pressure","2024-04-06T05:35:34Z",853.60406,""
"pressure","2024-04-06T05:45:34Z",853.3848,""
"pressure","2024-04-06T05:55:34Z",853.12349,""
"pressure","2024-04-06T06:05:34Z",852.94073,""
"pressure","2024-04-06T06:15:34Z",852.78903,""
"pressure","2024-04-06T06:25:34Z",852.75247,""
"pressure","2024-04-06T06:35:34Z",852.64278,""
"pressure","2024-04-06T06:45:34Z",852.49106,""
"pressure","2024-04-06T06:55:34Z",852.30822,""
"pressure","2024-04-06T07:05:34Z",852.30822,""
"pressure","2024-04-06T07:15:34Z",852.33931,""
"pressure","2024-04-06T07:25:34Z",852.33385,""
"pressure","2024-04-06T07:35:34Z",852.33385,""
"pressure","2024-04-06T07:45:34Z",852.40698,""
"pressure","2024-04-06T07:55:34Z",852.36494,""
"pressure","2024-04-06T08:05:34Z",852.40151,""
"pressure","2024-04-06T08:15:34Z",852.32838,""
"pressure","2024-04-06T08:25:34Z",852.46917,""
"pressure","2024-04-06T08:35:34Z",852.39604,""
"pressure","2024-04-06T08:45:34Z",852.72511,""
"pressure","2024-04-06T08:55:34Z",852.87134,""
"pressure","2024-04-06T09:05:34Z",853.01208,""
"pressure","2024-04-06T09:15:34Z",853.01208,""
"pressure","2024-04-06T09:25:34Z",853.1528,""
"pressure","2024-04-06T09:35:34Z",853.26244,""
"pressure","2024-04-06T09:45:34Z",853.26244,""
"pressure","2024-04-06T09:55:34Z",853.29351,""
"pressure","2024-04-06T10:05:34Z",853.3666,""
"pressure","2024-04-06T10:15:34Z",853.3666,""
"pressure","2024-04-06T10:25:34Z",853.50729,""
"pressure","2024-04-06T10:35:34Z",853.72103,""
"pressure","2024-04-06T10:45:34Z",853.75756,""
"pressure","2024-04-06T10:55:34Z",853.89273,""
"pressure","2024-04-06T11:05:34Z",837.80742,""
"pressure","2024-04-06T11:15:34Z",830.49103,""
"pressure","2024-04-06T11:25:34Z",834.28713,""
"pressure","2024-04-06T11:35:34Z",834.24474,""
"pressure","2024-04-06T11:45:34Z",833.98404,""
"pressure","2024-04-06T11:55:34Z",834.28159,""
"pressure","2024-04-06T12:05:34Z",834.60271,""
"pressure","2024-04-06T12:15:34Z",835.41896,""
"pressure","2024-04-06T12:25:34Z",835.22261,""
"pressure","2024-04-06T12:35:34Z",835.10635,""
"pressure","2024-04-06T12:45:34Z",835.30351,""
"pressure","2024-04-06T12:55:34Z",835.17971,""
"pressure","2024-04-06T13:05:34Z",834.96685,""
"pressure","2024-04-06T13:15:34Z",834.70679,""
"pressure","2024-04-06T13:25:34Z",834.45025,""
"pressure","2024-04-06T13:35:34Z",834.49672,""
"pressure","2024-04-06T13:45:34Z",834.11813,""
"pressure","2024-04-06T13:55:34Z",834.03031,""
"pressure","2024-04-06T14:05:34Z",834.19596,""
"pressure","2024-04-06T14:15:34Z",834.06693,""
"pressure","2024-04-06T14:25:34Z",834.05525,""
"pressure","2024-04-06T14:35:34Z",834.00201,""
"pressure","2024-04-06T14:45:34Z",833.97403,""
"pressure","2024-04-06T14:55:34Z",833.91651,""
"pressure","2024-04-06T15:05:34Z",833.72454,""
"pressure","2024-04-06T15:15:34Z",833.44203,""
"pressure","2024-04-06T15:25:34Z",833.41225,""
"pressure","2024-04-06T15:35:34Z",833.55238,""
"pressure","2024-04-06T15:45:34Z",833.41555,""
"pressure","2024-04-06T15:55:34Z",833.46157,""
"pressure","2024-04-06T16:05:34Z",833.20832,""
"pressure","2024-04-06T16:15:34Z",833.73951,""
"pressure","2024-04-06T16:25:34Z",833.71614,""
"pressure","2024-04-06T16:35:34Z",833.75665,""
"pressure","2024-04-06T16:45:34Z",833.76791,""
"pressure","2024-04-06T16:55:34Z",833.51854,""
"pressure","2024-04-06T17:05:34Z",833.22072,""
"pressure","2024-04-06T17:15:34Z",832.99927,""
"pressure","2024-04-06T17:25:34Z",832.68441,""
"pressure","2024-04-06T17:35:34Z",832.39037,""
"pressure","2024-04-06T17:45:34Z",832.28259,""
"pressure","2024-04-06T17:55:34Z",832.15911,""
"pressure","2024-04-06T18:05:34Z",832.06615,""
"pressure","2024-04-06T18:15:34Z",831.79122,""
"pressure","2024-04-06T18:25:34Z",832.08264,""
"pressure","2024-04-06T18:35:34Z",831.42759,""
"pressure","2024-04-06T18:45:34Z",831.14046,""
"pressure","2024-04-06T18:55:34Z",831.12293,""
"pressure","2024-04-06T19:05:34Z",831.0761,""
"pressure","2024-04-06T19:15:34Z",831.22337,""
"pressure","2024-04-06T19:25:34Z",831.15324,""
"pressure","2024-04-06T19:35:34Z",830.83476,""
"pressure","2024-04-06T19:45:34Z",830.61702,""
"pressure","2024-04-06T19:55:34Z",830.69711,""
"pressure","2024-04-06T20:05:34Z",830.71284,""
"pressure","2024-04-06T20:15:34Z",830.53729,""
"pressure","2024-04-06T20:25:34Z",830.36139,""
"pressure","2024-04-06T20:35:34Z",830.37279,""
"pressure","2024-04-06T20:45:34Z",830.38853,""
"pressure","2024-04-06T20:55:34Z",830.44147,""
"pressure","2024-04-06T21:05:34Z",830.53193,""
"pressure","2024-04-06T21:15:34Z",830.5212,""
"pressure","2024-04-06T21:25:34Z",830.53729,""
"pressure","2024-04-06T21:35:34Z",830.55874,""
"pressure","2024-04-06T21:45:34Z",830.4361,""
"pressure","2024-04-06T21:55:34Z",830.50546,""
"pressure","2024-04-06T22:05:34Z",830.55232,""
"pressure","2024-04-06T22:15:34Z",830.57913,""
"pressure","2024-04-06T22:25:34Z",830.65777,""
"pressure","2024-04-06T22:35:34Z",830.63705,""
"pressure","2024-04-06T22:45:34Z",830.68458,""
"pressure","2024-04-06T22:55:34Z",830.91835,""
"pressure","2024-04-06T23:05:34Z",827.60522,""
"pressure","2024-04-06T23:15:34Z",827.67991,""
"pressure","2024-04-06T23:25:34Z",827.80208,""
"pressure","2024-04-06T23:35:34Z",827.89748,""
"pressure","2024-04-06T23:45:34Z",828.02472,""
"pressure","2024-04-06T23:55:34Z",828.15192,""
"pressure","2024-04-07T00:05:34Z",828.36475,""
"pressure","2024-04-07T00:15:34Z",828.39124,""
"pressure","2024-04-07T00:25:34Z",828.60377,""
"pressure","2024-04-07T00:35:34Z",828.7737,""
"pressure","2024-04-07T00:45:34Z",829.04982,""
"pressure","2024-04-07T00:55:34Z",829.17714,""
"pressure","2024-04-07T01:05:34Z",829.37377,""
"pressure","2024-04-07T01:15:34Z",829.5007,""
"pressure","2024-04-07T01:25:34Z",829.75054,""
"pressure","2024-04-07T01:35:34Z",829.89386,""
"pressure","2024-04-07T01:45:34Z",830.07431,""
"pressure","2024-04-07T01:55:34Z",830.15362,""
"pressure","2024-04-07T02:05:34Z",830.17468,""
"pressure","2024-04-07T02:15:34Z",830.29112,""
"pressure","2024-04-07T02:25:34Z",830.46118,""
"pressure","2024-04-07T02:35:34Z",830.50369,""
"pressure","2024-04-07T02:45:34Z",830.6205,""
"pressure","2024-04-07T02:55:34Z",830.67333,""
"pressure","2024-04-07T03:05:34Z",830.77939,""
"pressure","2024-04-07T03:15:34Z",830.7736,""
"pressure","2024-04-07T03:25:34Z",830.73646,""
"pressure","2024-04-07T03:35:34Z",830.72615,""
"pressure","2024-04-07T03:45:34Z",830.76991,""
"pressure","2024-04-07T03:55:34Z",830.70098,""
"pressure","2024-04-07T04:05:34Z",830.56848,""
"pressure","2024-04-07T04:15:34Z",830.44629,""
"pressure","2024-04-07T04:25:34Z",830.32906,""
"pressure","2024-04-07T04:35:34Z",830.23904,""
"pressure","2024-04-07T04:45:34Z",830.31336,""
"pressure","2024-04-07T04:55:34Z",830.21759,""
"pressure","2024-04-07T05:05:34Z",830.03179,""
"pressure","2024-04-07T05:15:34Z",830.01034,""
"pressure","2024-04-07T05:25:34Z",829.81916,""
"pressure","2024-04-07T05:35:34Z",829.68621,""
"pressure","2024-04-07T05:45:34Z",829.69157,""
"pressure","2024-04-07T05:55:34Z",829.50606,""
"pressure","2024-04-07T06:05:34Z",829.67584,""
"pressure","2024-04-07T06:15:34Z",829.57643,""
"pressure","2024-04-07T06:25:34Z",829.44813,""
"pressure","2024-04-07T06:35:34Z",829.43707,""
"pressure","2024-04-07T06:45:34Z",829.34697,""
"pressure","2024-04-07T06:55:34Z",829.23543,""
"pressure","2024-04-07T07:05:34Z",829.21935,""
"pressure","2024-04-07T07:15:34Z",829.20425,""
"pressure","2024-04-07T07:25:34Z",829.09804,""
"pressure","2024-04-07T07:35:34Z",829.06589,""
"pressure","2024-04-07T07:45:34Z",828.94329,""
"pressure","2024-04-07T07:55:34Z",828.95463,""
"pressure","2024-04-07T08:05:34Z",828.84839,""
"pressure","2024-04-07T08:15:34Z",828.90702,""
"pressure","2024-04-07T08:25:34Z",828.93825,""
"pressure","2024-04-07T08:35:34Z",828.96503,""
"pressure","2024-04-07T08:45:34Z",829.00727,""
"pressure","2024-04-07T08:55:34Z",828.97985,""
"pressure","2024-04-07T09:05:34Z",828.95338,""
"pressure","2024-04-07T09:15:34Z",828.99056,""
"pressure","2024-04-07T09:25:34Z",828.96881,""
"pressure","2024-04-07T09:35:34Z",829.07565,""
"pressure","2024-04-07T09:45:34Z",828.99088,""
"pressure","2024-04-07T09:55:34Z",828.89034,""
"pressure","2024-04-07T10:05:34Z",828.87962,""
"pressure","2024-04-07T10:15:34Z",828.94329,""
"pressure","2024-04-07T10:25:34Z",829.00727,""
"pressure","2024-04-07T10:35:34Z",829.14059,""
"pressure","2024-04-07T10:45:34Z",829.48161,""
"pressure","2024-04-07T10:55:34Z",830.13585,""
"pressure","2024-04-07T11:05:34Z",832.11295,""
"pressure","2024-04-07T11:15:34Z",832.21549,""
"pressure","2024-04-07T11:25:34Z",832.51783,""
"pressure","2024-04-07T11:35:34Z",832.31123,""
"pressure","2024-04-07T11:45:34Z",832.80112,""
"pressure","2024-04-07T11:55:34Z",833.03995,""
"pressure","2024-04-07T12:05:34Z",833.29001,""
"pressure","2024-04-07T12:15:34Z",833.28029,""
"pressure","2024-04-07T12:25:34Z",833.14743,""
"pressure","2024-04-07T12:35:34Z",833.48684,""
"pressure","2024-04-07T12:45:34Z",833.48736,""
"pressure","2024-04-07T12:55:34Z",833.55568,""
"pressure","2024-04-07T13:05:34Z",833.51424,""
"pressure","2024-04-07T13:15:34Z",833.84548,""
"pressure","2024-04-07T13:25:34Z",833.98533,""
"pressure","2024-04-07T13:35:34Z",833.82345,""
"pressure","2024-04-07T13:45:34Z",833.87722,""
"pressure","2024-04-07T13:55:34Z",833.60665,""
"pressure","2024-04-07T14:05:34Z",833.48453,""
"pressure","2024-04-07T14:15:34Z",833.20508,""
"pressure","2024-04-07T14:25:34Z",833.40441,""
"pressure","2024-04-07T14:35:34Z",833.48453,""
"pressure","2024-04-07T14:45:34Z",833.8314,""
"pressure","2024-04-07T14:55:34Z",833.68419,""
"pressure","2024-04-07T15:05:34Z",833.4484,""
"pressure","2024-04-07T15:15:34Z",832.99226,""
"pressure","2024-04-07T15:25:34Z",833.32479,""
"pressure","2024-04-07T15:35:34Z",833.2046,""
"pressure","2024-04-07T15:45:34Z",833.02631,""
"pressure","2024-04-07T15:55:34Z",833.18236,""
"pressure","2024-04-07T16:05:34Z",832.89138,""
"pressure","2024-04-07T16:15:34Z",832.67478,""
"pressure","2024-04-07T16:25:34Z",832.4774,""
"pressure","2024-04-07T16:35:34Z",832.63674,""
"pressure","2024-04-07T16:45:34Z",832.48407,""
"pressure","2024-04-07T16:55:34Z",832.19499,""
"pressure","2024-04-07T17:05:34Z",832.04143,""
"pressure","2024-04-07T17:15:34Z",831.9667,""
"pressure","2024-04-07T17:25:34Z",831.76601,""
"pressure","2024-04-07T17:35:34Z",831.51616,""
"pressure","2024-04-07T17:45:34Z",831.34523,""
"pressure","2024-04-07T17:55:34Z",831.39466,""
"pressure","2024-04-07T18:05:34Z",831.1183,""
"pressure","2024-04-07T18:15:34Z",830.74572,""
"pressure","2024-04-07T18:25:34Z",830.57082,""
"pressure","2024-04-07T18:35:34Z",830.36434,""
"pressure","2024-04-07T18:45:34Z",830.23097,""
"pressure","2024-04-07T18:55:34Z",830.43875,""
"pressure","2024-04-07T19:05:34Z",830.22116,""
"pressure","2024-04-07T19:15:34Z",830.07737,""
"pressure","2024-04-07T19:25:34Z",829.913,""
"pressure","2024-04-07T19:35:34Z",829.76974,""
"pressure","2024-04-07T19:45:34Z",829.60341,""
"pressure","2024-04-07T19:55:34Z",829.4015,""
"pressure","2024-04-07T20:05:34Z",829.2638,""
"pressure","2024-04-07T20:15:34Z",829.29491,""
"pressure","2024-04-07T20:25:34Z",829.21458,""
"pressure","2024-04-07T20:35:34Z",828.8474,""
"pressure","2024-04-07T20:45:34Z",829.06116,""
"pressure","2024-04-07T20:55:34Z",829.06293,""
"pressure","2024-04-07T21:05:34Z",828.93018,""
"pressure","2024-04-07T21:15:34Z",828.8729,""
"pressure","2024-04-07T21:25:34Z",828.7082,""
